project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
Establishment of new GMC Mandla,"Medical Education, Ministry of Health and Family Welfare",707059,325.0,82.41,43.0,30.0,30.0,2.0,Madhya Pradesh,"Medical Education, Ministry of Health and Family Welfare",0
Establishment of new GMC Kapurthala,"Medical Education, Ministry of Health and Family Welfare",707069,325.0,0.0,0.0,17.0,-15.0,92.0,Punjab,"Medical Education, Ministry of Health and Family Welfare",1
Establishment of new GMC Hoshiarpur,"Medical Education, Ministry of Health and Family Welfare",707070,325.0,1.0,1.0,33.0,1.0,74.0,Punjab,"Medical Education, Ministry of Health and Family Welfare",1
Establishment of new GMC Gangtok,"Medical Education, Ministry of Health and Family Welfare",707039,250.0,666.21,92.0,96.0,88.0,2.0,Sikkim,"Medical Education, Ministry of Health and Family Welfare",1
ALL India Institute of Medical Sciences-AIIMS Madurai,PMSSY AND Institute of NATIONAL Importance,701168,1264.0,485.02,48.0,44.0,88.0,0.0,Tamil Nadu,PMSSY AND Institute of NATIONAL Importance,1
AIIMS Bibinagar,PMSSY AND Institute of NATIONAL Importance,701171,1028.0,989.98,87.21,47.0,45.0,43.0,Telangana,PMSSY AND Institute of NATIONAL Importance,1
Establishment of new GMC Rudrapur,"Medical Education, Ministry of Health and Family Welfare",707086,325.0,272.0,60.0,34.0,26.0,16.0,Uttarakhand,"Medical Education, Ministry of Health and Family Welfare",0
Establishment of new GMC Pithoragarh,"Medical Education, Ministry of Health and Family Welfare",707087,325.0,325.08,84.0,44.0,36.0,20.0,Uttarakhand,"Medical Education, Ministry of Health and Family Welfare",1
"Construction of 350 beds + 50 Super Specialty beds ESIC Hospital Sheelanagar, Visakhapatnam, Andhra Pradesh",Employee's State Insurance Company [ESIC],612167,384.27,253.37,88.0,30.0,36.0,26.0,Andhra Pradesh,Employee's State Insurance Company [ESIC],0
"Construction of 200 bedded ESIC Hospital with 62 Nos Staff quarters , Beltola",Employee's State Insurance Company [ESIC],612201,143.23,130.08,98.0,42.0,54.0,46.0,Assam,Employee's State Insurance Company [ESIC],1
350 Bedded [Upgradable to 500 beds] ESI Hospital at Sanand,Employee's State Insurance Company [ESIC],612186,558.12,55.81,21.0,35.0,36.0,10.0,Gujarat,Employee's State Insurance Company [ESIC],0
"Demolition, Construction and upgradation of ESI Hospital, Kalol, Gujarat from 50 beds to 150 beds.",Employee's State Insurance Company [ESIC],612211,205.87,51.74,46.0,24.0,30.0,14.0,Gujarat,Employee's State Insurance Company [ESIC],0
"Construction of 200 bed ESI Hospital at Bommasandra, Karnataka",Employee's State Insurance Company [ESIC],612745,278.0,68.23,23.0,27.0,18.0,116.0,Karnataka,Employee's State Insurance Company [ESIC],0
"Construction of 100 bed ESI Hospital and Staff Quarters [32 Nos.] at Harohalli, Karnataka",Employee's State Insurance Company [ESIC],612748,150.92,6.76,10.0,23.0,13.0,68.0,Karnataka,Employee's State Insurance Company [ESIC],0
"Construction of 200 Bedded [Upgradable to 500 Bedded including 50 beds of SST] ESIC Hospital at Bibewadi, Pune",Employee's State Insurance Company [ESIC],612188,429.25,341.9,78.0,30.0,37.0,58.0,Maharashtra,Employee's State Insurance Company [ESIC],0
"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.",Employee's State Insurance Company [ESIC],612213,194.93,114.39,65.5,36.0,44.0,106.0,Maharashtra,Employee's State Insurance Company [ESIC],1
"Upgradation & Extension of ESIC Hospital and Construction of PG Hostel / Staff Housing for ESIC Hospital at Andheri, Mumbai",Employee's State Insurance Company [ESIC],616691,260.13,216.46,89.0,194.0,202.0,6.0,Maharashtra,Employee's State Insurance Company [ESIC],0
"Construction of 100 Bedded ESI Hospital at Duburi, Odisha.",Employee's State Insurance Company [ESIC],612513,164.6,16.4,7.2,28.0,14.0,170.0,Odisha,Employee's State Insurance Company [ESIC],0
CONSTRUCTION OF 300 BEDDED HOSPITAL AT HARIDWAR,Employee's State Insurance Company [ESIC],612259,102.4,334.86,84.0,34.0,52.0,10.0,Uttarakhand,Employee's State Insurance Company [ESIC],1
Jal Marg Vikas Project,Inland Waterways Authority of India [IWAI],701565,5369.18,3990.06,81.2,70.0,98.0,1.0,"Multi-States
(Bihar, Jharkhand,
Uttar Pradesh,
West Bengal)",Inland Waterways Authority of India [IWAI],0
"Development of Container Terminal at Tuna-Tekra, Deendayal Port on BOT Basis Under PPP Mode",Deendayal Port Trust,609424,4243.64,2244.0,60.0,36.0,25.0,17.0,Gujarat,Deendayal Port Trust,0
"Replacement and revamping of pipeline projects in oil jetty area, Kandla",Deendayal Port Trust [DPT],701570,171.0,149.5,91.0,24.0,55.0,0.0,Gujarat,Deendayal Port Trust [DPT],1
Mechanization of Berth No.14 for handling Containers and other cargo on DBFOT basis - Phase II,New Mangalore Port Authority,617804,153.23,58.93,58.0,33.0,22.0,6.0,Karnataka,New Mangalore Port Authority,0
Rewas Port Project,Reliance Industries Ltd,400382,6000.0,5999.89,88.0,38.0,75.0,1.0,Maharashtra,Reliance Industries Ltd,0
Deepening and Optimization of Inner Harbour facilities including development of Western Dock on BOT basis to handle Cape size vessels,Paradip Port Trust [PPT],701574,3004.63,2117.12,70.0,59.0,39.0,8.0,Odisha,Paradip Port Trust [PPT],0
National Maritime Heritage Complex [NMHC] Phase-I,Indian Port Rail & Ropeway Corporation Ltd. [IPRCL],707215,573.0,614.91,76.12,26.0,51.0,35.0,Gujarat,Indian Port Rail & Ropeway Corporation Ltd. [IPRCL],1
Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],707410,763.0,430.0,60.0,24.0,52.0,43.0,Haryana,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],0
Orvakal Industrial Area,NICDC,617727,2786.0,112.0,6.14,36.0,6.0,14.0,Andhra Pradesh,NICDC,0
Kopparthy Industrial Area,NICDC,617729,2136.0,39.75,3.0,36.0,6.0,14.0,Andhra Pradesh,NICDC,0
Krishnapatnam Node - Phase 1 - Roads and Services Development,National Industrial Corridor Development Corporation,701658,2139.44,814.26,39.14,48.0,26.0,38.0,Andhra Pradesh,National Industrial Corridor Development Corporation,0
Tumakuru Node - Phase 1 - Roads and Services Development,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],701657,1701.81,278.35,23.18,43.0,38.0,26.0,Karnataka,National Highways & Infrastructure Development Corporation Ltd. [NHIDCL],0
Development of Palakkad Node under extension of CBIC to Kochi,National Industrial Corridor Development Corporation,701668,3805.0,0.0,1.0,42.0,6.0,14.0,Kerala,National Industrial Corridor Development Corporation,0
Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,National Industrial Corridor Development Corporation,601812,2360.0,0.0,0.3,35.0,2.0,18.0,Telangana,National Industrial Corridor Development Corporation,0
IMC at Prayagraj,National Industrial Corridor Development Corporation,707419,658.0,0.0,6.5,32.0,0.0,20.0,Uttar Pradesh,National Industrial Corridor Development Corporation,0
Capacity expansion of Deposit-14 and 14 NMZ at Kirandul,National Mineral Development Corporation Limited [NMDC],615202,1700.0,258.41,20.3,77.0,45.0,11.0,Chhattisgarh,National Mineral Development Corporation Limited [NMDC],1
Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant,Steel Authority of India Limited [SAIL],617243,198.62,75.16,79.73,23.0,20.0,1.0,Chhattisgarh,Steel Authority of India Limited [SAIL],0
"Replacement of Converter Vessels, Trunnion Rings, Support System & Installation of Secondary Emission at Bhilai Steel Plant",Steel Authority of India Limited [SAIL],617255,471.83,239.59,67.07,30.0,28.0,2.0,Chhattisgarh,Steel Authority of India Limited [SAIL],0
Rebuilding of Coke Oven Battery No.7 & 8 at Bhilai Steel Plant,Steel Authority of India Limited [SAIL],617256,884.1,601.25,89.99,21.0,27.0,2.0,Chhattisgarh,Steel Authority of India Limited [SAIL],0
NMDC Slurry Pipeline Project Phase-1,National Mineral Development Corporation Limited [NMDC],706811,2907.0,3607.64,94.1,33.0,67.0,58.0,Chhattisgarh,National Mineral Development Corporation Limited [NMDC],1
SCREENING PLANT-III AT KIRANDUL,National Mineral Development Corporation Limited [NMDC],709826,2718.84,1524.61,82.17,51.0,54.0,153.0,Chhattisgarh,National Mineral Development Corporation Limited [NMDC],0
"New Sinter Plant at BSL, SAIL",Steel Authority of India Limited [SAIL],400174,1034.01,980.24,59.78,24.0,126.0,7.0,Jharkhand,Steel Authority of India Limited [SAIL],1
Replacement of existing Grinders in CRM-I & II at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617249,211.94,58.64,47.5,23.0,14.0,1.0,Jharkhand,Steel Authority of India Limited [SAIL],0
Secondary Emission Control in Converters of SMS-II at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617250,207.13,57.34,39.92,20.0,14.0,1.0,Jharkhand,Steel Authority of India Limited [SAIL],0
Revamping of old sub-systems of Blast Furnace 3 at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617253,513.82,408.4,97.3,21.0,30.0,2.0,Jharkhand,Steel Authority of India Limited [SAIL],0
Replacement of remaining 04 sets of Battery Cyclones with 04 Nos. of ESPs in Sinter Plant-1 at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617254,260.37,102.86,44.17,26.0,24.0,1.0,Jharkhand,Steel Authority of India Limited [SAIL],0
Rebuilding of Coke Oven Battery No.6 at Bokaro Steel Plant,Steel Authority of India Limited [SAIL],617257,627.31,330.82,61.84,35.0,28.0,1.0,Jharkhand,Steel Authority of India Limited [SAIL],0
"Construction of Screening Plant-II for Donimalai and Kumaraswamy Iron Ore Mining Complex of NMDC Limited at Ballari Dt, Karnataka.",National Mineral Development Corporation Limited [NMDC],400121,1043.63,609.8,63.1,26.0,22.0,115.0,Karnataka,National Mineral Development Corporation Limited [NMDC],0
Rebuilding of COB 4 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],612781,916.78,206.54,33.66,39.0,31.0,0.0,West Bengal,Steel Authority of India Limited [SAIL],0
Installation of New Bar Mill at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],617242,2115.44,564.14,57.55,34.0,20.0,1.0,West Bengal,Steel Authority of India Limited [SAIL],0
Up-gradation of Blast Furnace No. 3 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],617246,758.09,219.33,38.12,20.0,18.0,1.0,West Bengal,Steel Authority of India Limited [SAIL],0
Third Ladle Furnace in Secondary Refinery Unit at IISCO Steel Plant,Steel Authority of India Limited [SAIL],617248,227.96,75.66,66.37,19.0,16.0,1.0,West Bengal,Steel Authority of India Limited [SAIL],0
Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],617251,196.4,35.36,24.8,17.0,16.0,5.0,West Bengal,Steel Authority of India Limited [SAIL],0
Stamp Charge Battery No.12 Battery Proper at IISCO Steel Plant,Steel Authority of India Limited [SAIL],617338,2518.39,375.65,22.5,41.0,14.0,1.0,West Bengal,Steel Authority of India Limited [SAIL],0
Nadikudi - Srikalahasti New Line,South Central Railway [SCR] - II,400298,2312.0,3069.35,55.01,125.0,112.0,57.0,Andhra Pradesh,South Central Railway [SCR] - II,1
GOOTY-PENDEKALLU DOUBLING 29.225 Km,South Central Railway [SCR] - II,611752,351.83,330.25,3.03,45.0,34.0,3.0,Andhra Pradesh,South Central Railway [SCR] - II,0
GUNTAKAL WEST-MALLAPPA GATE RAIL OVER RAIL - ROR TRACK,South Central Railway [SCR] - II,611754,293.3,267.51,0.23,36.0,33.0,0.0,Andhra Pradesh,South Central Railway [SCR] - II,0
Kurnool - Setting up facilities for coach midlife rehabilitation workshop,WPO/Patna,611927,560.72,276.66,65.0,74.0,102.0,45.0,Andhra Pradesh,WPO/Patna,0
Flyover between Pendurthi and Simhachalam North to avoid surface crossing at Simhachalam 7.135 km PB 73 of 2023 24 NR,East Coast Railway [ECoR] - II,612827,183.65,14.79,15.0,35.0,23.0,13.0,Andhra Pradesh,East Coast Railway [ECoR] - II,0
3rd & 4th line between Vadlapudi -Gate Jn. cabin and Tie line between Gate Junction to Gangavaram port,East Coast Railway [ECoR] - II,616697,154.28,58.16,75.0,27.0,25.0,11.0,Andhra Pradesh,East Coast Railway [ECoR] - II,0
Tiupati Katpadi 104.39 kms,South Central Railway [SCR] - II,617210,1215.56,0.16,0.05,47.0,12.0,0.0,Andhra Pradesh,South Central Railway [SCR] - II,0
3rd Line between Gudur Renigunta 83.17 Km,South Central Railway [SCR] - II,617216,877.34,205.35,0.16,29.0,18.0,0.0,Andhra Pradesh,South Central Railway [SCR] - II,0
Kurnool Coach Midlife Rehabilitation Project,South Central Railway [SCR] - II,705253,563.0,949.34,75.0,77.0,141.0,-22.0,Andhra Pradesh,South Central Railway [SCR] - II,0
Kotapalli - Narasapur New Line,South Central Railway [SCR] - II,705436,2501.0,1417.65,30.01,174.0,151.0,54.0,Andhra Pradesh,South Central Railway [SCR] - II,0
Guntur-Guntakal Doubling Project,South Central Railway [SCR] - II,705633,3733.0,5523.6,94.01,97.0,101.0,8.0,Andhra Pradesh,South Central Railway [SCR] - II,1
Vijaywada-Gudur 3rd Line,RVNL - II,705648,6654.0,6170.32,96.0,79.0,96.0,20.0,Andhra Pradesh,RVNL - II,0
Furkating-New Tinsukia[194 Km],Northeast Frontier Railway [NFR],618986,3633.58,0.0,0.0,45.0,7.0,0.0,Assam,Northeast Frontier Railway [NFR],0
Doubling of New Bonggigaon to Kamakhya via Goalpara - 176 km,Northeast Frontier Railway [NFR],705572,4060.0,3797.35,95.13,114.0,115.0,0.0,Assam,Northeast Frontier Railway [NFR],1
Guwahati-Dibrugarh via Tinsukia & Simaluguri-Dibrugarh,Central Organisation for Railway Electrification [CORE],706922,890.36,391.73,89.0,24.0,91.0,-24.0,Assam,Central Organisation for Railway Electrification [CORE],0
"Mariani-Jorhat, Tinsukia-Dangri and Makum -TirapTrack Electrification Project",GM/C/ NFR,706940,183.99,0.0,0.0,28.0,51.0,40.0,Assam,GM/C/ NFR,0
Harmuty-Murkongselek Branch Line Electrification Project,GM/C/ NFR,706942,237.52,0.0,0.0,28.0,51.0,40.0,Assam,GM/C/ NFR,0
Sakri -Hasanpur [via Harnagar - Kusheshwar Asthan] New Railway line,East Central Railway [ECR] - I,400254,735.2,589.37,84.2,328.0,344.0,-316.0,Bihar,East Central Railway [ECR] - I,0
Construction of Bulb line at Nabinagar Ankorah of East Central Railway,East Central Railway [ECR] - I,617231,611.74,0.0,0.0,48.0,22.0,0.0,Bihar,East Central Railway [ECR] - I,0
Doubling of Narkatiaganj Raxaul Sitamarhi Darbhanga & Sitamarhi Muzaffarpur 256 KM,East Central Railway [ECR] - I,617239,4079.95,2.67,0.0,48.0,5.0,12.0,Bihar,East Central Railway [ECR] - I,0
Khagaria-Kusheshwar Asthan [42Km] new line project,East Central Railway [ECR] - I,705364,614.0,491.2,55.7,312.0,328.0,-244.0,Bihar,East Central Railway [ECR] - I,1
Hajipur-Sagauli New line,East Central Railway [ECR] - I,705366,2067.0,2084.14,75.3,185.0,258.0,-36.0,Bihar,East Central Railway [ECR] - I,1
Araria Supaul New BG Line,East Central Railway [ECR] - I,705368,1605.0,1711.89,46.7,180.0,205.0,-111.0,Bihar,East Central Railway [ECR] - I,1
"Fatuha-Islampur incl. MM for extn.of NL from Neora to Daniawan , Daniawan to Biharsharif, Biharsharif to Barbigha , Barbigha to Shekhpura",East Central Railway [ECR] - I,705373,1473.0,2641.14,98.0,252.0,289.0,-5.0,Bihar,East Central Railway [ECR] - I,1
Jogbani-Biratnagar New Rail Line project,Indian Railway Construction International Limited [IRCON],705450,402.0,369.28,86.26,134.0,183.0,7.0,Bihar,Indian Railway Construction International Limited [IRCON],1
Samastipur-Darbhanga Doubling Railway Project,East Central Railway [ECR] - I,705526,519.0,401.84,97.0,111.0,124.0,1.0,Bihar,East Central Railway [ECR] - I,0
Sagauli-Valmiknagar,East Central Railway [ECR] - I,705527,1216.0,2097.52,92.8,105.0,109.0,-12.0,Bihar,East Central Railway [ECR] - I,1
Muzaffarpur-Sugauli,East Central Railway [ECR] - I,705528,1586.0,1494.93,99.0,87.0,109.0,-12.0,Bihar,East Central Railway [ECR] - I,0
Rampur Dumra-Tal-Rajendrapul Additional Bridge and Railway Line Doubling,Indian Railway Construction International Limited [IRCON],706759,2373.64,1610.45,98.5,91.0,107.0,14.0,Bihar,Indian Railway Construction International Limited [IRCON],0
Barauni-Bachwara [16 km] - 3rd & 4th line incl. Barauni yard remodelling [32 km],East Central Railway [ECR] - I,706860,645.0,47.53,56.7,0.0,8.0,34.0,Bihar,East Central Railway [ECR] - I,0
JHAJHA - BATIA,East Central Railway [ECR] - I,900874,588.18,2.38,0.1,60.0,37.0,0.0,Bihar,East Central Railway [ECR] - I,0
Kharsia-Dharamjaygarh with Spur line [East Corridor-Phase 1],Indian Railway Construction International Limited [IRCON],400220,3055.0,2695.19,95.1,56.0,147.0,-26.0,Chhattisgarh,Indian Railway Construction International Limited [IRCON],1
Doubling of Kirandul-Jagdalpur Line [150 km],East Coast Railway [ECoR] - II,400291,1589.0,1656.54,97.6,84.0,157.0,1.0,Chhattisgarh,East Coast Railway [ECoR] - II,1
Gauge Conversion of Kendri-Dhamtari including Abhanpur - Rajim Branch line 67.20 Kms - 2nd Material Modification to Raipur Titlagarh doubling.,SECR,602792,1171.0,404.58,100.0,45.0,59.0,118.0,Chhattisgarh,SECR,0
4th line between Nipania Bhatapara 14.4 Km,South East Central Railway [SECR] - II,612815,170.49,9.56,15.0,34.0,23.0,17.0,Chhattisgarh,South East Central Railway [SECR] - II,0
KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM],CAO/C/SECR,617200,7853.84,0.64,0.0,71.0,12.0,0.0,Chhattisgarh,CAO/C/SECR,0
"Dallirajhara - Rowghat New Rail Line Project, Phase-I",Rail Vikas Nigam Limited,617374,1516.45,2124.32,98.0,184.0,197.0,4.0,Chhattisgarh,Rail Vikas Nigam Limited,1
Dallirajhra- Rowghat New Railway Line - Phase I [95 km],Rail Vikas Nigam Limited,705433,1628.0,1440.85,82.0,189.0,196.0,5.0,Chhattisgarh,Rail Vikas Nigam Limited,0
Gevra Road-Pendra Road New Railway Line [135 km],Indian Railway Construction International Limited [IRCON],705444,4970.0,5152.72,82.0,95.0,144.0,0.0,Chhattisgarh,Indian Railway Construction International Limited [IRCON],1
Boridand - Ambikapur Doubling Line Project,South East Central Railway [SECR] - II,706854,1376.0,258.97,27.0,98.0,48.0,-2.0,Chhattisgarh,South East Central Railway [SECR] - II,1
4TH LINE - BHATAPARA-HATHBAND [8.8 KM] [PB-72/NR/2022-23],SECR,709815,177.03,4.8,16.0,32.0,23.0,20.0,Chhattisgarh,SECR,0
4TH LINE - BHILAI-BHILAI NAGAR [8.8 KM] [PB-72/NR/2022-23],SECR,709816,177.34,1.91,7.0,33.0,23.0,20.0,Chhattisgarh,SECR,0
4TH LINE - DADHAPARA-BELHA [9.2 KM] [PB-72/NR/2022-23],SECR,709817,169.06,22.52,65.0,30.0,23.0,20.0,Chhattisgarh,SECR,0
4TH LINE RAJNANDGAON-DONGARHGARH [31.2 KM] [PB-72/NR/2022-23],SECR,709818,328.34,78.66,33.0,32.0,23.0,20.0,Chhattisgarh,SECR,0
3RD AND 4TH LINE - SARAGBUNDIA AND MADWARANI,SECR,709819,167.64,20.13,8.0,19.0,11.0,32.0,Chhattisgarh,SECR,0
Redevelopment of New Delhi Railway Station and construction of associated infrastructure,Rail Land Development Authority,613785,4744.0,257.53,3.0,54.0,22.0,17.0,Delhi,Rail Land Development Authority,0
Development of New Bijwasan Railway Terminal,Northern Railways,617379,446.21,553.14,80.0,84.0,157.0,61.0,Delhi,Northern Railways,0
Anand Vihar-Tilak Bridge 3rd & 4th line,CAO/C/NR,705583,667.0,312.74,23.0,120.0,157.0,0.0,Delhi,CAO/C/NR,0
Kosamba Umarpada 70 Km,PCE/WR,611918,468.0,44.62,9.0,56.0,45.0,-12.0,Gujarat,PCE/WR,0
New Broad Gauge line between Naliya to Jakhau Port,Western Railway [WR] - II,611943,410.26,11.23,5.0,59.0,38.0,0.0,Gujarat,Western Railway [WR] - II,0
Petlad Bhadran 23 Kms,Western Railway,611945,307.11,18.9,17.0,96.0,47.0,0.0,Gujarat,Western Railway,0
Samlaya Timba Road 54 km,PCE/WR,611970,670.17,45.86,12.0,85.0,38.0,0.0,Gujarat,PCE/WR,0
Samni Jambusar 24 km,PCE/WR,611971,350.0,71.06,31.0,94.0,47.0,0.0,Gujarat,PCE/WR,0
Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms,Western Railway [WR] - II,611974,1430.0,519.4,35.0,40.0,32.0,0.0,Gujarat,Western Railway [WR] - II,0
