rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1809,Upgradation to Two lane with Paved Shoulder Configuration of Narayanpur Kasturmeta pkg-II from design ch. 48.693 to 70.453 design length21.760 Km. on NH-130D under EPC mode in the state of Chhattisgarh.,MoRTH,617972,Chhattisgarh,MoRTH,200.67,14.99,0.0,16.0,0.510441,0.510441,LOW
1810,Sawaimadhopur Bye Pass Line Project,North Western Railway [NWR],706866,Rajasthan,North Western Railway [NWR],304.0,83.03,72.0,39.0,0.50707644,0.50707644,LOW
1811,"Revised Jharia Master Plan for Dealing with Fire, Subsidence & Rehabilitation of affected families in Jharia Coalfield- Reg.",Bharat Coking Coal Limited [BCCL],617416,Jharkhand,Bharat Coking Coal Limited [BCCL],5940.47,262.83,26.0,9.0,0.5067111,0.5067111,LOW
1812,Kondamodu to Perecherla Section Design Ch. Km 000 to Km 49917 of NH-167AG to to 4LPS,MoRTH,618101,Andhra Pradesh,MoRTH,881.61,0.0,36.82,12.0,0.5066669,0.5066669,LOW
1813,Improvement and Widening to 2-lane with paved shoulder of road from design Km 36.000 Rangamati to design Km 72.000 Pati Chhari Total length 36.000 Km on Teliamura to Harina section of NH 208 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-3,NHIDCL,618368,Tripura,NHIDCL,670.9,0.0,14.0,19.0,0.5025158,0.5025158,LOW
1814,Construction of Twin Tube Uni-directional Aizawl Bypass Tunnel of 2.5 km and its approaches of 2.1 km from km 10.600 to km 15.200 on Sarrang - Phaibawk section of NH-6 in the State of Mizoram on EPC Mode under NHO-NE Package-2,NHIDCL,618323,Mizoram,NHIDCL,1313.28,0.0,0.0,4.0,0.48598656,0.48598656,LOW
1815,Improvement and Widening to 2-lane with paved shoulder of road from existing Km 438.170 Khowai Chowmuhani to existing Km 439.410 South Pulinpur of NH-08 and from design Km 0.000 South Pulinpur to design Km 36.00 near Rangamati of NH 208 on Khowai Teliamura- Harina section Total length 37.24 in the state of Tripura on EPC mode under JICA ODA Loan Phase VI Package-2,NHIDCL,618369,Tripura,NHIDCL,657.21,0.0,57.95,19.0,0.482823,0.482823,LOW
1816,MADANNAGAR OCP 12 MTY - MDO,SECL - CIL,619172,Chhattisgarh,SECL - CIL,1859.19,0.45,0.0,16.0,0.47937772,0.47937772,LOW
1817,Siliguri-Jhapa Pipeline Project,Indian Oil Corporation Limited [IOCL],617828,West Bengal,Indian Oil Corporation Limited [IOCL],267.0,1.92,11.2,19.0,0.47334704,0.47334704,LOW
1818,"Construction of 4-Lane with paved shoulder Agartala bypass Western side, length 25.402 km connecting NH-8 near Amtali to NH-108B near Lembuchhera in the state of Tripura on EPC basis under NHO-NE",NHIDCL,618417,Tripura,NHIDCL,2026.05,292.55,9.2,25.0,0.47063082,0.47063082,LOW
1819,Udgir Raavi Degloor Aadampur phata to Sagroli fata,MoRTH,617937,Maharashtra,MoRTH,809.77,0.0,0.0,0.0,0.4698845,0.4698845,LOW
1820,Transmission system for evacuation of power from Rajasthan REZ Ph-IV [Part- 3/6GW] [Bikaner complex] Part A [SPV Name POWERGRID Bikaner IV Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615339,"Multi-States
(Haryana, Punjab,
Rajasthan)",Power Grid Corporation of India Limited [POWERGRID],5969.0,1313.18,24.07,17.0,0.46959245,0.46959245,LOW
1821,Doubling between Bhadrachalam Road and Dornakal,South Central Railway [SCR] - II,616856,Telangana,South Central Railway [SCR] - II,770.12,87.93,0.05,12.0,0.46881238,0.46881238,LOW
1822,Development/Widening of Talegaon Chakan Shikrapur Nhavara Section of NH-548D from existing chainage km. 54/000 to 82/300 and Design chainage Km. 54/000 to 82/120 Shikrapur to Nhavara Section to 2LPS/4L Configuration on EPC Mode in the State of Maharashtra.,MoRTH,618155,Maharashtra,MoRTH,396.17,85.57,70.8,15.0,0.46875453,0.46875453,LOW
1823,"Construction of Balance Work of the 4-Laning of the Section from Jorhat to Jhanji of NH-37 Old from Km 463.00 to Km 477.000 14.000 Km, under SARDP- NE under EPC Mode in the state of Assam Pkg-II Road Works",NHIDCL,618443,Assam,NHIDCL,438.44,0.0,95.86,26.0,0.4676881,0.4676881,LOW
1824,RPR TAWA-III UG 0.84 MTY,Western Coalfields Limited [WCL],613804,Madhya Pradesh,Western Coalfields Limited [WCL],314.09,17.89,17.78,52.0,0.4605546,0.4605546,LOW
1825,Construction of two lane with paved shoulder of Ghatol Bypass from km 133.250 to km 140.950 of NH-56 old NH No. 113 on EPC mode in the State of Rajasthan.,MoRTH,619251,Rajasthan,MoRTH,170.49,0.0,0.0,1.0,0.45952705,0.45952705,LOW
1826,PARASEA-BELBAID UG PROJECT,Eastern Coal Fields Limited [ECL],613794,West Bengal,Eastern Coal Fields Limited [ECL],389.1,132.48,22.13,39.0,0.4592601,0.4592601,LOW
1827,Transmission System for evacuation of Power from Rajasthan REZ Ph-IV [Part-4 3.5 GW] Part A [SPV name POWERGRID Ghiror Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],616670,"Multi-States
(Rajasthan, Uttar
Pradesh)",Power Grid Corporation of India Limited [POWERGRID],5846.0,1636.88,31.37,16.0,0.45742053,0.45742053,LOW
1828,TILABONI UG,Eastern Coal Fields Limited [ECL],400186,West Bengal,Eastern Coal Fields Limited [ECL],749.08,53.88,11.9,39.0,0.45530936,0.45530936,LOW
1829,Revamping of Air Pollution Control Systems of SP-1 at Durgapur Steel Plant,Steel Authority of India Limited [SAIL],617251,West Bengal,Steel Authority of India Limited [SAIL],196.4,35.36,24.8,16.0,0.45342717,0.45342717,LOW
1830,"City Gas Distribution [CGD] Project in Gajapati, Kandhamal, Boudh, & Sonepur GA",Ministry of Petroleum & Natural Gas,617818,Odisha,Ministry of Petroleum & Natural Gas,514.91,22.08,5.9,50.0,0.45306078,0.45306078,LOW
1831,"Construction of 2-Lane with paved shoulders of Shillong Western Bypass starting from NH-06 near Ladumsaw existing Km 60.900 of old NH40 to NH106 old NH 44E Package-III, from km 24700 to km 38256 under SARDP-NE PHASE A in the state of Meghalaya on EPC Mode Greenfield alignment",NHIDCL,618419,Meghalaya,NHIDCL,562.48,85.88,50.91,19.0,0.45169502,0.45169502,LOW
1832,Construction of New BG line between Hassan to Belur [27 Km],South Western Railway [SWR] - II,400023,Karnataka,South Western Railway [SWR] - II,749.0,0.94,0.3,4.0,0.4511829,0.4511829,LOW
1833,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3/ 6 GW] [BIKANER COMPLEX] PART B [SPV Name POWERGRID Siwani Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615340,"Multi-States
(Haryana,
Rajasthan)",Power Grid Corporation of India Limited [POWERGRID],5357.0,1446.39,28.27,17.0,0.44867232,0.44867232,LOW
1834,Widening to 2 Lane from Existing Chainage Km 74.700 Km 100.660 Design Chainage Km 53.365 to Km 78.785 on NH- 507 in the State of Uttarakhand.,MoRTH,618039,Uttarakhand,MoRTH,346.82,0.0,29.64,6.0,0.4447417,0.4447417,LOW
1835,Up-gradation of Pichhore- Dinara section of NH-346 from Km 292.750 to 334.550 to two lane with paved shoulders in the state of Madhya Pradesh on EPC mode,MoRTH,618021,Madhya Pradesh,MoRTH,425.97,0.0,19.31,4.0,0.44397846,0.44397846,LOW
1836,Widening/lmprovement of Existing 2 lane to 4-Laning of Karimganj-Silchar section of NH-37 from Design Ch 0.000 near Silchar ISBT to Design Ch 15.970 near Kalinagar Pt I on NH-37 in Assam on HAM Mode Pkg-1,NHIDCL,618313,Assam,NHIDCL,1181.55,0.0,0.0,7.0,0.4420546,0.4420546,LOW
1837,Construction of Dharmagarh Bypass on NH-130C including land acquisition in the state of Odisha on EPC Mode under Annual plan 2022-23.,MoRTH,618079,Odisha,MoRTH,172.66,0.0,15.0,12.0,0.44070408,0.44070408,LOW
1838,Transmission System for Evacuation of Power from Potential Renewable Energy Zone in Khavda area of Gujarat under Phase-IV [7GW] Part B [SPV Name POWERGRID South Olpad Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615345,Gujarat,Power Grid Corporation of India Limited [POWERGRID],4766.0,1239.16,27.59,18.0,0.43914187,0.43914187,LOW
1839,Widening/lmprovement to 4-Lane with Paved Shoulder from existing road and Greenfield alignment form Design Ch. 62.800 start of proposed Nilambazar/Cheragi Bypass to Design Ch. 87.700 near Chandkhira Village of NH-8 on Silchar-Churaibari in the state of Assam on HAM Mode Package-5,NHIDCL,618312,Assam,NHIDCL,1258.13,0.0,11.0,12.0,0.43519005,0.43519005,LOW
1840,TIRAP OCP,MIS MoCoal Integration Logins,615821,Assam,MIS MoCoal Integration Logins,289.46,105.61,3.26,41.0,0.43495953,0.43495953,LOW
1841,RPR OF VISHNUPURI UG TO OC,Western Coalfields Limited [WCL],615187,Madhya Pradesh,Western Coalfields Limited [WCL],220.62,0.0,11.2,41.0,0.43247557,0.43247557,LOW
1842,Delhi University Eastern Campus at Surajmal Vihar,Delhi University,616886,Delhi,Delhi University,373.0,28.13,12.0,13.0,0.43209013,0.43209013,LOW
1843,Widening/Improvement to 4-Lane with Paved Shoulder from km 626030 Nalani hulla Gaon to km 650450 Chotahapjan on existing Tinsukhia -Makum Bypass of NH-15 OLD NH-37 and Strengthening of existing NH-315 OLD NH-38 from Km 0000 Chotahapjan to Km 16900 Bogapani section 2-Lane PS in Assam on EPCMode under NHO-NE Package-3,NHIDCL,618340,Assam,NHIDCL,458.59,217.2,83.39,35.0,0.4306931,0.4306931,LOW
1844,Double Chord line Between Nilaje-Kopar,CentralRailway,617364,Maharashtra,CentralRailway,338.33,24.04,24.0,15.0,0.43065915,0.43065915,LOW
1845,Construction of flyover at Gammon Junction at Km.903.265 on NH16 including vent at Diwancheruvu junction at Km.902.308 Blackspot ID No.AP03299 in Andhra Pradesh on EPC mode under NHO,National Highways Authority of India [NHAI],618525,Andhra Pradesh,National Highways Authority of India [NHAI],326.61,13.18,8.8,6.0,0.42902282,0.42902282,LOW
1846,"Strengthening, Widening & Up-gradation of newly declared NH-761 from NH- 61Junction-BelheAlkutiDevibhoyareNighojShirur, from Design chainage Km 0.000 to Km 37.970 from Single/Intermediate/2L to 2LPS in the State of Maharashtra on EPC Mode Length 37.970 Km",MoRTH,618061,Maharashtra,MoRTH,386.16,30.86,56.86,13.0,0.42225337,0.42225337,LOW
1847,KOLGAON EXPANSION DEEP OC MINE,Western Coalfields Limited [WCL],615199,Maharashtra,Western Coalfields Limited [WCL],198.71,23.54,2.82,31.0,0.422019,0.422019,LOW
1848,Change of service of existing Mundra-Panipat Pipeline [Panipat - Churwa section] from Crude oil to Product,IOCL,619196,Haryana,IOCL,359.0,10.37,35.3,11.0,0.41943952,0.41943952,LOW
1849,KHARSIA- NAYA RAIPUR-PARMALKASA 5th and 6th Line [278KM],CAO/C/SECR,617200,Chhattisgarh,CAO/C/SECR,7853.84,0.64,0.0,12.0,0.41483608,0.41483608,LOW
1850,Development of New Civil Enclave at Bihta,612183,-,Bihar,Airport Authority of India [AAI],1413.0,7.64,1.28,12.0,0.41429237,0.41429237,LOW
1851,Augmentation of DUPL-DPPL Pipeline,Ministry of Petroleum & Natural Gas,619224,Maharashtra,Ministry of Petroleum & Natural Gas,844.0,0.61,6.1,10.0,0.41296124,0.41296124,LOW
1852,"City Gas Distribution [CGD] Project in Kondagaon, Bastar, Sukma, Narayanpur, Bijapur & Dantewada GA",Ministry of Petroleum & Natural Gas,617819,Chhattisgarh,Ministry of Petroleum & Natural Gas,557.04,8.76,2.2,46.0,0.41276166,0.41276166,LOW
1853,Demo Bio-ATF Project,Ministry of Petroleum & Natural Gas,616879,Karnataka,Ministry of Petroleum & Natural Gas,364.0,71.1,47.4,25.0,0.4110357,0.4110357,LOW
1854,JHIRIA WEST OCP [1.5 MTY],South Eastern Coalfields Limited [SECL],613803,Madhya Pradesh,South Eastern Coalfields Limited [SECL],366.94,35.57,41.29,27.0,0.4107336,0.4107336,LOW
1855,URDHAN EXPANSION OC COST PLUS,Western Coalfields Limited [WCL],615194,Madhya Pradesh,Western Coalfields Limited [WCL],206.88,27.32,2.02,39.0,0.40997756,0.40997756,LOW
1856,Devbhumi Dwarka [Okha] - Kanalus Doubling,Western Railway [WR] - II,618972,Gujarat,Western Railway [WR] - II,1456.77,0.0,0.0,4.0,0.40788394,0.40788394,LOW
1857,Augmentation of Transformation Capacity at jam Khambhaliya PS [GIS] [SPV Name POWERGRID Jam Khambhaliya Transmission Limited],Power Grid Corporation of India Limited [POWERGRID],615342,Gujarat,Power Grid Corporation of India Limited [POWERGRID],329.0,36.19,13.5,18.0,0.4072537,0.4072537,LOW
1858,Work of 6 laning/Construction of elevated corridor from km 0/0 to 10/170 Narol Junction to Sarkhej junction including 4 lane Shastri Bridge on Sabarmati river on NH 47 in the State of Gujarat on HAM mode,MoRTH,617916,Gujarat,MoRTH,1295.39,0.0,26.0,8.0,0.40680388,0.40680388,LOW
1859,"Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and Infrastructure for center of excellence]","Indian Institute of Technology, Indore",611957,Madhya Pradesh,"Indian Institute of Technology, Indore",496.28,78.35,58.0,24.0,0.39947549,0.39947549,LOW
1860,Samni Jambusar 24 km,PCE/WR,611971,Gujarat,PCE/WR,350.0,71.06,31.0,47.0,0.39643258,0.39643258,LOW
1861,Improvement and Widening to 2-lane with paved shoulder of road from Km 101.300 to km 127.319 Total Length 26.019 Km i.e. the Khowai Teliamura-Amarpur-Harina- Sabroom section of NH 208 in the state of Tripura on EPC under JICA ODA Loan Phase VI Package-1,NHIDCL,618370,Tripura,NHIDCL,431.78,0.0,58.12,21.0,0.39262572,0.39262572,LOW
1862,Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,Karnataka,MoRTH,471.62,80.08,64.33,19.0,0.3827722,0.3827722,LOW
1863,Construction of Bulb line at Nabinagar Ankorah of East Central Railway,East Central Railway [ECR] - I,617231,Bihar,East Central Railway [ECR] - I,611.74,0.0,0.0,22.0,0.38212842,0.38212842,LOW
1864,AMLG GAURI PAUNI EXPANSION OC,Western Coalfields Limited [WCL],615916,Maharashtra,Western Coalfields Limited [WCL],1225.21,88.88,4.21,24.0,0.38049138,0.38049138,LOW
1865,Rehabilitation and Up-gradation of Jarud - Sirsala section of NH-361F km 59500 to km11500 to Two lane with paved shoulder/ Four Lane in the state of Maharashtra on EPC mode Length 55.5 Km.,MoRTH,618137,Maharashtra,MoRTH,540.35,95.57,49.89,11.0,0.378923,0.378923,LOW
1866,LUCKNOW METRO RAIL PROJECT PHASE-1B EAST WEST CORRIDOR,Uttar Pradesh metro rail corporation [UPMRC],619052,Uttar Pradesh,Uttar Pradesh metro rail corporation [UPMRC],5801.05,0.0,1.0,-1.0,0.3752828,0.3752828,LOW
1867,Widening to 2LPS from Km 0.000 to 37.850 Except Ex. Km 24.45 to 27.20 of NH-766c Byndoor-Ranebennur Section in the state of Karnataka on EPC Mode under Annual Plan 2022-23 NH-766C-KNT-2022-23-969 dated 30.12.2022,MoRTH,618185,Karnataka,MoRTH,394.95,0.0,0.0,8.0,0.37431172,0.37431172,LOW
1868,Development of Keshod Airport.,619054,-,Gujarat,Airport Authority of India [AAI],363.1,87.88,33.13,9.0,0.35698795,0.35698795,LOW
1869,Construction of Shopian Bypass on NH-444 taking off from existing chainage Km 36500 and re-joining at km 47588 of existing Chainage New Design Ch. From km 28000 to km 36925 as 2- lane with paved shoulder in the UT of Jammu & Kashmir on EPC mode.,MoRTH,618038,"Jammu and
Kashmir",MoRTH,224.44,0.0,3.0,3.0,0.35387504,0.35387504,LOW
1870,NADIAD-PETLAD [37.26 KM],Railway,709812,Gujarat,Railway,461.91,186.78,8.0,30.0,0.3535728,0.3535728,LOW
1871,Balance work of Rehabilitation and Up-gradation to 4-Lane configuration of Ras- Beawar Section Km 00.000 to km 30.050 of NH-158 in the State of Rajasthan under Green National Highway Corridor Project GNHCP.,MoRTH,618235,Rajasthan,MoRTH,278.1,28.57,37.16,10.0,0.34977198,0.34977198,LOW
1872,Bulk Loading Hub- Kanpur,MinistryofPetroleumNaturalGas,619312,Uttar Pradesh,MinistryofPetroleumNaturalGas,186.0,92.47,54.0,7.0,0.3495854,0.3495854,LOW
1873,Widening to 2LPS between Km 0/0 to 56/0 Khokhara Gujarat Border Vijayanagar Antrasuba Mathasur road of NH 58 in the State of Gujarat,MoRTH,617927,Gujarat,MoRTH,699.19,0.0,24.0,7.0,0.34913817,0.34913817,LOW
1874,New construction of Major Bridge with Approaches from Km 0.000 to 1.200 Madhopur -Badabanta section of NH-20 under NHO in Annual Plan 2022-23 in the State of Odisha,MoRTH,617898,Odisha,MoRTH,199.5,0.1,0.0,12.0,0.3449348,0.3449348,LOW
1875,3rd Line between Gudur Renigunta 83.17 Km,South Central Railway [SCR] - II,617216,Andhra Pradesh,South Central Railway [SCR] - II,877.34,205.35,0.16,18.0,0.34473765,0.34473765,LOW
1876,Nandyala-Kurnool/Kadapa Border section of NH-167K i.e. Km 186/000 to Km 250/000Design Ch.186000 to 248010 to 2LPS,MoRTH,617987,Andhra Pradesh,MoRTH,691.81,0.0,40.49,7.0,0.33791038,0.33791038,LOW
1877,Widening and Strengthening/Reconstruction to Two Lane with Paved Shoulder/ Two Lane with paved shoulders with service road from km 0000 to km 42250 excluding design Ch. 03220 to 04200 & 28350 to 29060 of NH-320G in the state of Jharkhand under EPC mode,MoRTH,618123,Jharkhand,MoRTH,423.18,4.11,0.0,32.0,0.33170003,0.33170003,LOW
1878,"City Gas Distribution Project at Jammu, Udhampur, Reasi, Samba and Kathua Districts",MinistryofPetroleumNaturalGas,709773,"Jammu and
Kashmir",MinistryofPetroleumNaturalGas,538.0,4.32,0.6,49.0,0.3254242,0.3254242,LOW
1879,Phase B of Construction of Permanent Campus of IIT Palakkad,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,617878,Kerala,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,1527.0,9.8,0.0,3.0,0.32189712,0.32189712,LOW
1880,Flyover between Pendurthi and Simhachalam North to avoid surface crossing at Simhachalam 7.135 km PB 73 of 2023 24 NR,East Coast Railway [ECoR] - II,612827,Andhra Pradesh,East Coast Railway [ECoR] - II,183.65,14.79,15.0,23.0,0.32005888,0.32005888,LOW
1881,186 MW Tato-I H E Project,North Eastern Electric Power Corporation Limited,611699,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,1750.07,73.91,5.04,11.0,0.3190796,0.3190796,LOW
1882,Network Expansion Scheme in Maharashtra for removal of Transmission constraints in Pune Region-I [765/400kV AIS Pune East],Power Grid Corporation of India Limited [POWERGRID],619227,Maharashtra,Power Grid Corporation of India Limited [POWERGRID],1420.0,2.84,0.5,1.0,0.3156286,0.3156286,LOW
1883,"STABILIZATION OF LAND SLIDE AND SLOPE PROTECTION AT KM 11.00 TO KM 11.08, 29,730 KM TO 30,060 KM, 30,400 KM TO 31,060 KM, 34,750 KM TO 35,300 KM, 38,950 KM TO 39,030 KM & 39,460 KM TO 39,540 KM TWO LOC CLUBBED, KM 40,400 TO KM 40,650, KM 43,500 KM 43,680, 52,460 RISHIKESH - DHARASU ROAD NH-94 ON EPC MODE IN THE STATE OF UTTARAKHAND. NOSE OF LAND SLIDE - 12 NOS",MoRTH,618212,Uttarakhand,MoRTH,197.26,0.0,15.06,6.0,0.3142267,0.3142267,LOW
1884,Replacement of Hot Leveller No.1 of Plate Mill at Bhilai Steel Plant,Steel Authority of India Limited [SAIL],617243,Chhattisgarh,Steel Authority of India Limited [SAIL],198.62,75.16,79.73,20.0,0.3140178,0.3140178,LOW
1885,Eastern Region Expansion Scheme-43 [ERES-43],Power Grid Corporation of India Limited [POWERGRID],617271,"Multi-States
(Bihar, Odisha,
West Bengal)",Power Grid Corporation of India Limited [POWERGRID],342.69,102.8,29.73,19.0,0.31062105,0.31062105,LOW
1886,Transmission System Strengthening for integration of additional RE Potential at Davanagere [0.25 GW] and Bellary [2.75 GW],Power Grid Corporation of India Limited [POWERGRID],619228,Karnataka,Power Grid Corporation of India Limited [POWERGRID],1111.0,5.5,1.0,2.0,0.30817416,0.30817416,LOW
1887,PARASCOLE JAMBAD OCP,Eastern Coal Fields Limited [ECL],616230,West Bengal,Eastern Coal Fields Limited [ECL],1193.55,11.42,0.22,17.0,0.30802685,0.30802685,LOW
1888,"Construction for Mitigation Measures of 10 Nos. Landslides, 01 No. Sinking Zones and 1 No. of Minor Bridge in between at Ch. Km 368.00 to Km 433.00 on NH-07 on EPC Mode in Uttarakhand Package-1",NHIDCL,618393,Uttarakhand,NHIDCL,216.68,107.69,96.0,22.0,0.3054812,0.3054812,LOW
1889,Muddanur to B. Kothapalli section of NH-716G from Km. 0/000 to Km. 56/500 56.500 Km in the State of Andhra Pradesh on EPC mode Job no. 741,MoRTH,618053,Andhra Pradesh,MoRTH,1019.97,0.0,20.63,8.0,0.30515435,0.30515435,LOW
1890,GAURIDEEP/GAURI CENTRAL OCP 7.,Western Coalfields Limited [WCL],615917,Maharashtra,Western Coalfields Limited [WCL],973.07,1.55,2.31,22.0,0.30067664,0.30067664,LOW
1891,"Augmentation of Transformation Capacity by 3x500 MVA, 400/220 KV ICTS [6th-8th] and 1x1500 MVA, 765/400 KV ICT [4th] at Bidar PS [SPV Name- POWERGRID Bidar Augmentation Transmission Limited]",Power Grid Corporation of India Limited [POWERGRID],617068,Karnataka,Power Grid Corporation of India Limited [POWERGRID],288.0,20.16,7.2,14.0,0.30054733,0.30054733,LOW
1892,810 MW Solar Power Project - Rajasthan,NLC India Limited [NLCIL],618981,Rajasthan,NLC India Limited [NLCIL],4147.07,224.77,0.0,7.0,0.29980907,0.29980907,LOW
1893,Guwahati Ring Road in the State of Assam,National Highways Authority of India [NHAI],618934,Assam,National Highways Authority of India [NHAI],5729.47,3.15,0.0,3.0,0.2991617,0.2991617,LOW
1894,Installation of Compression facility at GAIL Usar,Ministry of Petroleum & Natural Gas,619225,Maharashtra,Ministry of Petroleum & Natural Gas,260.2,0.0,0.0,12.0,0.29747665,0.29747665,LOW
1895,Construction of new 4 lane major bridge with approaches on Sabarmati River near Dharoi at Km. 82/00 to 86/00 Design length 3.300 km on NH-58 in the State of Gujarat on Hybrid Annuity Mode HAM,MoRTH,617926,Gujarat,MoRTH,398.4,0.0,33.0,8.0,0.29532126,0.29532126,LOW
1896,Transmission System for Strengthening to facilitate evacuation of power from Bhadla/Bikaner Complex,Power Grid Corporation of India Limited [POWERGRID],617269,Uttar Pradesh,Power Grid Corporation of India Limited [POWERGRID],212.81,6.38,3.0,16.0,0.29519448,0.29519448,LOW
